Date,Date_Number,MJO Phase,Average specimens
10/1/2011,40817,6,1
10/11/2011,40827,8,18.625
10/12/2011,40828,8,17.375
10/13/2011,40829,8,37.18181818
10/15/2011,40831,1,39.23809524
10/16/2011,40832,1,46
10/17/2011,40833,1,2
10/25/2011,40841,2,2.5
10/26/2011,40842,2,6.333333333
10/27/2011,40843,2,15.33333333
10/28/2011,40844,2,4.888888889
11/1/2011,40848,3,88
11/3/2011,40850,3,17.77777778
11/8/2011,40855,5,9.375
11/9/2011,40856,6,2.636363636
11/10/2011,40857,7,3.571428571
11/19/2011,40866,1,1
11/21/2011,40868,2,3.888888889
11/22/2011,40869,2,12.22222222
11/23/2011,40870,2,6.375
12/1/2011,40878,4,3
12/2/2011,40879,4,18.1
12/5/2011,40882,4,4.769230769
12/6/2011,40883,5,4.142857143
12/7/2011,40884,5,3.5
12/19/2011,40896,4,2.5
12/20/2011,40897,4,2
1/11/2012,40919,6,3.333333333
1/12/2012,40920,6,3.666666667
1/15/2012,40923,6,2.2
1/16/2012,40924,6,1.5
1/17/2012,40925,6,1.25
1/24/2012,40932,5,1
1/25/2012,40933,5,2
1/26/2012,40934,5,1
1/27/2012,40935,6,2
2/6/2012,40945,7,1.666666667
2/7/2012,40946,7,1
2/9/2012,40948,8,2
2/12/2012,40951,8,2.833333333
2/27/2012,40966,2,6.5
3/6/2012,40974,4,1
3/7/2012,40975,4,1.5
3/8/2012,40976,4,1
3/9/2012,40977,4,1.8
3/20/2012,40988,6,8.5
3/21/2012,40989,6,2.75
3/22/2012,40990,7,1
4/3/2012,41002,7,2
4/4/2012,41003,7,3.666666667
4/5/2012,41004,7,1
4/6/2012,41005,8,5.125
4/17/2012,41016,3,9.545454545
4/18/2012,41017,3,2.625
4/19/2012,41018,3,1.166666667
5/1/2012,41030,8,1.333333333
5/2/2012,41031,8,5.833333333
5/3/2012,41032,8,7.8
5/4/2012,41033,8,12.3
5/15/2012,41044,7,18.23076923
5/16/2012,41045,7,3.555555556
5/17/2012,41046,7,14
6/19/2012,41079,1,1.333333333
6/20/2012,41080,1,4
6/21/2012,41081,1,6
6/22/2012,41082,8,7
6/26/2012,41086,1,6.2
6/27/2012,41087,1,1.444444444
6/28/2012,41088,1,3.4
7/3/2012,41093,2,1.666666667
7/4/2012,41094,2,2.6
7/5/2012,41095,2,3
7/6/2012,41096,3,2.5
7/18/2012,41108,4,3.4
7/19/2012,41109,4,2
7/20/2012,41110,3,1.5
7/21/2012,41111,4,2.5
8/8/2012,41129,1,1
8/9/2012,41130,1,2.166666667
8/10/2012,41131,1,1
8/11/2012,41132,1,8.25
8/21/2012,41142,2,1.75
8/22/2012,41143,3,2
8/23/2012,41144,3,1
8/24/2012,41145,3,5
8/25/2012,41146,3,1
8/27/2012,41148,3,6
8/29/2012,41150,3,1.5
8/30/2012,41151,3,1
9/18/2012,41170,5,1
9/19/2012,41171,5,2.5
9/20/2012,41172,4,6.642857143
9/21/2012,41173,4,7.666666667
9/25/2012,41177,5,2.875
9/26/2012,41178,5,3.25
9/28/2012,41180,5,3
10/2/2012,41184,6,1
10/3/2012,41185,6,1.666666667
10/4/2012,41186,6,4.666666667
10/5/2012,41187,5,1.5
10/9/2012,41191,6,13.8
10/10/2012,41192,6,2.166666667
10/11/2012,41193,5,9.833333333
10/16/2012,41198,1,11
10/17/2012,41199,1,2
10/18/2012,41200,1,18.28571429
10/19/2012,41201,1,11
10/20/2012,41202,1,2.333333333
11/6/2012,41219,4,6.5
11/7/2012,41220,4,3
11/8/2012,41221,5,6.285714286
11/9/2012,41222,5,4.6
11/13/2012,41226,4,11.16666667
11/14/2012,41227,5,18
11/15/2012,41228,5,28.625
11/16/2012,41229,6,22
11/20/2012,41233,6,16.75
11/23/2012,41236,6,4
11/26/2012,41239,8,2
11/27/2012,41240,8,8.5
12/4/2012,41247,2,14.8
12/5/2012,41248,3,4.2
12/6/2012,41249,3,2.2
12/7/2012,41250,3,3.428571429
12/8/2012,41251,4,4.4
12/10/2012,41253,8,5.666666667
12/11/2012,41254,1,21.85714286
12/13/2012,41256,1,7.714285714
12/14/2012,41257,1,1.666666667
12/15/2012,41258,1,6.222222222
12/18/2012,41261,1,2.166666667
12/19/2012,41262,2,1.333333333
1/9/2013,41283,5,1.6
1/10/2013,41284,5,3
1/11/2013,41285,6,2
1/15/2013,41289,7,2
1/16/2013,41290,7,3
1/17/2013,41291,7,5.4
1/22/2013,41296,7,3.5
1/23/2013,41297,7,4.2
1/24/2013,41298,7,1.75
1/25/2013,41299,7,3.333333333
1/30/2013,41304,7,1
2/5/2013,41310,1,5
2/7/2013,41312,1,3
2/8/2013,41313,1,10
2/12/2013,41317,2,1
2/13/2013,41318,2,2.666666667
2/14/2013,41319,2,2
2/15/2013,41320,3,6.333333333
2/19/2013,41324,4,1.8
2/20/2013,41325,4,1.25
2/21/2013,41326,4,3
2/26/2013,41331,6,2
3/5/2013,41338,7,1.666666667
3/6/2013,41339,7,28
3/7/2013,41340,7,1
3/8/2013,41341,7,1
3/12/2013,41345,6,1.5
3/13/2013,41346,6,2
3/14/2013,41347,6,9.75
3/15/2013,41348,7,3.333333333
3/19/2013,41352,8,11.14285714
3/20/2013,41353,8,6.333333333
3/22/2013,41355,1,1
3/26/2013,41359,3,3.333333333
4/2/2013,41366,3,2.5
4/3/2013,41367,3,3.6
4/4/2013,41368,3,10
4/6/2013,41370,4,3.875
4/9/2013,41373,4,5.857142857
4/10/2013,41374,4,27.8
4/11/2013,41375,4,6.571428571
4/16/2013,41380,6,19
4/18/2013,41382,8,20.125
4/23/2013,41387,8,11.25
4/24/2013,41388,8,2
4/25/2013,41389,8,10.5
5/1/2013,41395,1,1
5/2/2013,41396,1,1.666666667
5/3/2013,41397,1,1
5/4/2013,41398,1,5.75
5/7/2013,41401,2,12.4
5/9/2013,41403,3,38.5
5/10/2013,41404,3,19.4
5/11/2013,41405,4,99.2
5/14/2013,41408,5,39.4
5/15/2013,41409,5,47
5/16/2013,41410,5,74.4
5/21/2013,41415,8,25.25
5/22/2013,41416,8,17.4
5/23/2013,41417,8,8.8
5/24/2013,41418,8,18
5/28/2013,41422,1,2.5
5/29/2013,41423,1,8.5
5/30/2013,41424,1,1
5/31/2013,41425,1,2
6/4/2013,41429,2,3
6/5/2013,41430,2,4
6/6/2013,41431,2,9.166666667
6/7/2013,41432,2,2.5
6/11/2013,41436,3,2.8
6/12/2013,41437,4,2.2
6/13/2013,41438,4,5.8
6/14/2013,41439,4,3.333333333
6/18/2013,41443,5,8.6
6/19/2013,41444,6,12
6/20/2013,41445,6,3.666666667
6/21/2013,41446,7,2.5
6/25/2013,41450,8,2.5
6/27/2013,41452,8,2.5
7/2/2013,41457,1,1
7/4/2013,41459,1,2
7/9/2013,41464,1,2
7/11/2013,41466,2,1.75
7/12/2013,41467,3,1
7/15/2013,41470,3,1.5
7/16/2013,41471,3,1
7/17/2013,41472,8,2.8
7/18/2013,41473,6,3.5
7/19/2013,41474,6,4.25
7/20/2013,41475,6,3.333333333
7/25/2013,41480,7,3
7/27/2013,41482,1,1
7/29/2013,41484,3,3
7/30/2013,41485,5,1
8/6/2013,41492,8,1
8/7/2013,41493,8,1
8/12/2013,41498,6,4
8/13/2013,41499,7,2
8/14/2013,41500,8,1.5
8/15/2013,41501,8,5
8/16/2013,41502,7,5
8/20/2013,41506,8,4.666666667
8/21/2013,41507,8,5
8/22/2013,41508,8,3.2
8/23/2013,41509,8,3.25
8/27/2013,41513,1,2.75
8/28/2013,41514,1,1
8/29/2013,41515,1,1
9/3/2013,41520,1,1
9/4/2013,41521,1,1
9/5/2013,41522,1,1
9/6/2013,41523,2,9
9/10/2013,41527,3,1.6
9/11/2013,41528,3,2
9/12/2013,41529,3,2.666666667
9/13/2013,41530,4,2.5
9/17/2013,41534,5,3.8
9/18/2013,41535,5,5.5
9/19/2013,41536,5,3.5
9/24/2013,41541,5,6
9/25/2013,41542,6,4.6
9/26/2013,41543,6,2.5
9/27/2013,41544,6,2
10/1/2013,41548,5,1.5
10/2/2013,41549,5,2
10/5/2013,41552,5,2.5
10/8/2013,41555,6,3.75
10/9/2013,41556,6,1.5
10/10/2013,41557,6,3.5
10/11/2013,41558,6,9
10/15/2013,41562,6,7
10/16/2013,41563,8,7.2
10/17/2013,41564,1,7.333333333
10/18/2013,41565,1,6.8
10/19/2013,41566,1,6.333333333
10/23/2013,41570,5,2.333333333
11/12/2013,41590,3,1
11/13/2013,41591,3,1.333333333
11/14/2013,41592,3,6
11/15/2013,41593,3,4.2
11/16/2013,41594,2,1
11/18/2013,41596,2,5.166666667
11/19/2013,41597,4,3.8
11/21/2013,41599,4,6.333333333
11/22/2013,41600,3,6
11/23/2013,41601,4,7.5
11/24/2013,41602,5,4
11/25/2013,41603,4,14
11/26/2013,41604,4,12.2
11/27/2013,41605,5,2
11/28/2013,41606,5,1.8
11/29/2013,41607,5,2.5
11/30/2013,41608,3,1.5
12/3/2013,41611,2,2
12/4/2013,41612,3,3.5
12/5/2013,41613,3,2
12/6/2013,41614,3,1
12/7/2013,41615,3,1.5
12/9/2013,41617,3,2
12/10/2013,41618,3,1.5
12/11/2013,41619,3,1
12/12/2013,41620,3,2
12/13/2013,41621,3,7
12/14/2013,41622,3,13.66666667
12/15/2013,41623,4,2
12/16/2013,41624,4,32.2
12/17/2013,41625,4,1
12/18/2013,41626,4,1
12/19/2013,41627,4,1
12/20/2013,41628,5,1
12/22/2013,41630,5,7
1/7/2014,41646,8,1
1/8/2014,41647,8,1
1/11/2014,41650,3,8
1/14/2014,41653,5,1
1/15/2014,41654,5,1
1/16/2014,41655,5,2.333333333
1/17/2014,41656,6,1
1/22/2014,41661,6,1.5
1/23/2014,41662,6,2.666666667
1/24/2014,41663,6,3.666666667
1/27/2014,41666,7,3
1/28/2014,41667,7,2
1/29/2014,41668,6,2
2/6/2014,41676,4,5
2/7/2014,41677,4,2
2/10/2014,41680,5,4
2/11/2014,41681,5,2
2/13/2014,41683,5,1
2/15/2014,41685,6,1
2/17/2014,41687,6,5
2/18/2014,41688,6,2
2/19/2014,41689,6,1
2/21/2014,41691,6,3.5
2/22/2014,41692,7,1
2/25/2014,41695,7,1.5
3/4/2014,41702,7,1
3/6/2014,41704,8,5
3/7/2014,41705,8,1.666666667
3/11/2014,41709,8,2
3/13/2014,41711,1,6.5
3/15/2014,41713,1,10
3/17/2014,41715,2,9.25
3/18/2014,41716,2,4
3/19/2014,41717,2,3.666666667
3/20/2014,41718,2,7
3/21/2014,41719,2,7
3/22/2014,41720,2,4.5
3/24/2014,41722,1,6
3/25/2014,41723,1,2
3/27/2014,41725,2,2.5
4/2/2014,41731,3,1
4/3/2014,41732,3,1
4/4/2014,41733,3,7.666666667
4/8/2014,41737,5,3
4/9/2014,41738,5,17
4/10/2014,41739,5,11.75
4/11/2014,41740,5,6.5
4/12/2014,41741,5,6
4/15/2014,41744,6,16.25
4/16/2014,41745,6,21.8
4/17/2014,41746,6,22.4
4/18/2014,41747,6,12
4/22/2014,41751,6,20.66666667
4/23/2014,41752,6,9.5
4/24/2014,41753,6,7
4/25/2014,41754,6,2.75
4/28/2014,41757,7,5
4/29/2014,41758,8,9.8
5/6/2014,41765,1,1.333333333
5/7/2014,41766,1,2
5/8/2014,41767,1,8
5/12/2014,41771,3,6.75
5/13/2014,41772,3,9.666666667
5/14/2014,41773,3,6.8
5/15/2014,41774,3,4.4
5/16/2014,41775,3,10
5/17/2014,41776,3,11
5/20/2014,41779,1,10.75
5/21/2014,41780,1,5.75
5/22/2014,41781,2,21
5/23/2014,41782,2,7
5/27/2014,41786,2,5.5
5/28/2014,41787,2,1.5
5/30/2014,41789,2,7.5
6/6/2014,41796,2,2.333333333
6/10/2014,41800,4,1.25
6/11/2014,41801,4,5.333333333
6/12/2014,41802,4,4.4
6/13/2014,41803,4,6.5
6/14/2014,41804,4,14.4
6/17/2014,41807,4,4.4
6/18/2014,41808,5,1.2
6/19/2014,41809,5,6
6/20/2014,41810,5,3.5
6/21/2014,41811,6,2
6/24/2014,41814,7,1
6/25/2014,41815,7,1.5
6/26/2014,41816,7,1
6/27/2014,41817,7,3.5
7/2/2014,41822,7,1.5
7/4/2014,41824,5,2
7/5/2014,41825,3,1
7/8/2014,41828,4,2
7/9/2014,41829,5,2
7/12/2014,41832,5,5
7/15/2014,41835,6,2.4
7/16/2014,41836,6,2
7/17/2014,41837,6,2
7/18/2014,41838,5,6
7/22/2014,41842,6,1
7/23/2014,41843,6,1.333333333
7/24/2014,41844,6,2
7/25/2014,41845,7,1
8/7/2014,41858,2,5.333333333
8/9/2014,41860,2,1
8/12/2014,41863,2,4
8/13/2014,41864,2,3.5
8/15/2014,41866,1,1
8/19/2014,41870,1,1.5
8/20/2014,41871,1,3
8/21/2014,41872,1,3.333333333
8/22/2014,41873,1,5
8/23/2014,41874,2,18.66666667
8/26/2014,41877,2,2
8/27/2014,41878,2,8
8/29/2014,41880,3,2
8/30/2014,41881,3,2
9/3/2014,41885,4,1
9/4/2014,41886,4,3.5
9/5/2014,41887,4,3
9/10/2014,41892,4,2.666666667
9/11/2014,41893,2,2.4
9/12/2014,41894,1,1
9/13/2014,41895,8,29.25
9/16/2014,41898,8,6.333333333
9/18/2014,41900,1,12.66666667
9/19/2014,41901,1,46
9/20/2014,41902,2,4.2
9/23/2014,41905,4,7.666666667
9/24/2014,41906,3,7.666666667
9/25/2014,41907,3,2
9/26/2014,41908,4,4
10/1/2014,41913,4,1.5
10/3/2014,41915,5,5
10/4/2014,41916,5,2.333333333
10/7/2014,41919,5,2.25
10/8/2014,41920,5,5
10/9/2014,41921,6,2
10/10/2014,41922,6,3.333333333
10/13/2014,41925,8,3
10/14/2014,41926,8,12.66666667
10/15/2014,41927,1,19.4
10/16/2014,41928,1,47
10/17/2014,41929,1,11.83333333
10/18/2014,41930,1,3.666666667
10/28/2014,41940,4,1.666666667
10/29/2014,41941,4,11
10/30/2014,41942,4,2.5
10/31/2014,41943,3,2.8
11/3/2014,41946,3,2.5
11/4/2014,41947,4,11.33333333
11/5/2014,41948,4,1.333333333
11/6/2014,41949,4,1.25
11/7/2014,41950,7,2.666666667
11/8/2014,41951,8,5.166666667
11/9/2014,41952,8,1.666666667
11/10/2014,41953,8,1
11/13/2014,41956,1,5.8
11/14/2014,41957,1,5
11/17/2014,41960,1,10
11/18/2014,41961,2,27.33333333
11/19/2014,41962,2,9
11/20/2014,41963,3,1.5
11/22/2014,41965,3,2.333333333
11/25/2014,41968,3,3
11/26/2014,41969,3,1
11/27/2014,41970,3,1.333333333
12/2/2014,41975,5,1.5
12/3/2014,41976,5,3.5
12/4/2014,41977,5,1
12/5/2014,41978,6,2
12/6/2014,41979,6,8
12/7/2014,41980,6,1.5
12/10/2014,41983,7,2
12/11/2014,41984,7,2.8
12/12/2014,41985,7,1
12/16/2014,41989,5,6
12/17/2014,41990,3,1
12/18/2014,41991,3,1.666666667
12/19/2014,41992,3,2
12/20/2014,41993,3,2.5
1/14/2015,42018,7,1
1/21/2015,42025,7,2
1/22/2015,42026,7,2
1/23/2015,42027,8,1.333333333
1/24/2015,42028,8,1
1/27/2015,42031,7,2
1/29/2015,42033,6,1
2/4/2015,42039,7,1
2/11/2015,42046,7,1
2/12/2015,42047,7,2
2/13/2015,42048,6,1
2/17/2015,42052,4,2
2/21/2015,42056,7,18.5
2/24/2015,42059,7,4
2/25/2015,42060,7,1.5
2/26/2015,42061,7,1
2/27/2015,42062,3,1
3/5/2015,42068,4,3
3/6/2015,42069,4,1
3/11/2015,42074,6,1
3/14/2015,42077,7,1
3/17/2015,42080,7,2.666666667
3/18/2015,42081,8,2.666666667
3/19/2015,42082,8,128.3333333
3/20/2015,42083,8,4
3/24/2015,42087,8,11
3/25/2015,42088,1,3.25
4/9/2015,42103,3,1.75
4/10/2015,42104,3,6.166666667
4/13/2015,42107,3,5.333333333
4/14/2015,42108,2,5.6
4/15/2015,42109,2,2.166666667
4/16/2015,42110,2,5.714285714
4/17/2015,42111,3,7.666666667
4/18/2015,42112,3,7.2
4/21/2015,42115,3,13
4/22/2015,42116,4,23
4/23/2015,42117,4,6.4
4/24/2015,42118,4,9.333333333
4/29/2015,42123,7,2
4/30/2015,42124,7,8.5
5/12/2015,42136,6,2.5
5/13/2015,42137,6,6.666666667
5/14/2015,42138,7,1.5
5/15/2015,42139,6,6.714285714
5/16/2015,42140,7,1.8
5/17/2015,42141,7,2.75
5/18/2015,42142,7,1.5
5/21/2015,42145,8,6
5/22/2015,42146,1,5
5/23/2015,42147,2,5.4
5/25/2015,42149,1,2.833333333
5/26/2015,42150,1,7.5
5/27/2015,42151,1,1
5/28/2015,42152,1,1.5
5/29/2015,42153,1,2.333333333
6/2/2015,42157,1,2.333333333
6/3/2015,42158,1,2.8
6/10/2015,42165,2,1.5
6/11/2015,42166,3,3
6/12/2015,42167,3,1
6/13/2015,42168,3,3
6/16/2015,42171,4,1.5
6/17/2015,42172,4,5
6/18/2015,42173,4,3.5
6/22/2015,42177,5,2
6/23/2015,42178,5,1
6/24/2015,42179,5,8.333333333
6/25/2015,42180,5,3.25
6/26/2015,42181,5,3.25
6/30/2015,42185,6,2
7/3/2015,42188,7,1.333333333
7/7/2015,42192,7,4
7/8/2015,42193,7,4
7/9/2015,42194,7,1.2
7/14/2015,42199,8,3.2
7/15/2015,42200,8,2
7/16/2015,42201,1,3.25
7/17/2015,42202,1,1
7/20/2015,42205,2,2
7/21/2015,42206,2,1.5
7/22/2015,42207,2,2
7/25/2015,42210,2,1
8/4/2015,42220,8,1
8/5/2015,42221,7,2
8/8/2015,42224,7,4
8/14/2015,42230,1,1
8/15/2015,42231,1,2
8/17/2015,42233,1,2.5
8/18/2015,42234,1,2.333333333
8/19/2015,42235,1,1
8/20/2015,42236,8,1.5
8/25/2015,42241,1,1
9/5/2015,42252,1,2
9/8/2015,42255,2,1
9/9/2015,42256,2,1
9/12/2015,42259,3,4
9/14/2015,42261,4,1
9/15/2015,42262,4,2.666666667
9/16/2015,42263,4,3.5
9/17/2015,42264,3,1.6
9/19/2015,42266,4,3
9/21/2015,42268,4,5
9/22/2015,42269,4,8.5
9/23/2015,42270,5,7
9/24/2015,42271,5,1.333333333
9/30/2015,42277,8,1.5
